time: 4.07186631944	x_noise: 0	avg_x_error: 0	var_x_error: 0	y_noise: 0	avg_y_error: 0	var_y_error: 0
time: 5.456015625	x_noise: 3.48276996613	avg_x_error: 4.24846749975	var_x_error: 9.74047852737	y_noise: 8.19194126129	avg_y_error: 13.0543280363	var_y_error: 3.13832603645
time: 6.84084201389	x_noise: 13.2732791901	avg_x_error: 21.2319834167	var_x_error: 7.66770406047	y_noise: 12.7645044327	avg_y_error: 29.2718071547	var_y_error: 7.11356250115
time: 8.15631076389	x_noise: 26.7025146484	avg_x_error: 25.90884501	var_x_error: 143.782119486	y_noise: 22.9319782257	avg_y_error: 14.9132779781	var_y_error: 3.90008938499
time: 10.1604947917	x_noise: 37.4493408203	avg_x_error: 25.0013708627	var_x_error: 0.00934003384785	y_noise: 10.5102396011	avg_y_error: 11.4953060557	var_y_error: 0.0179920211271
time: 17.7093315972	x_noise: 35.1238555908	avg_x_error: 14.0826733386	var_x_error: 0.436596864391	y_noise: 29.2765045166	avg_y_error: 17.4414065413	var_y_error: 0.00214210943583
time: 19.749609375	x_noise: 13.687543869	avg_x_error: 11.8610847265	var_x_error: 1.60604401962	y_noise: 4.07492494583	avg_y_error: 3.60381223458	var_y_error: 0.153205162053
time: 21.0256944444	x_noise: 14.5383415222	avg_x_error: 13.8028805557	var_x_error: 68.8945033556	y_noise: 6.45669412613	avg_y_error: 4.13705109232	var_y_error: 0.310521982488
time: 22.3378385417	x_noise: 36.3631744385	avg_x_error: 42.6562370721	var_x_error: 360.505585038	y_noise: 10.6342840195	avg_y_error: 50.5197360988	var_y_error: 69.2956311489
time: 23.6220572917	x_noise: 26.0181713104	avg_x_error: 28.9469005375	var_x_error: 14.5149066164	y_noise: 80.3110198975	avg_y_error: 57.2737896335	var_y_error: 60.147470661
time: 26.3702951389	x_noise: 70.8241348267	avg_x_error: 53.6183916463	var_x_error: 7.27320143976	y_noise: 56.9717674255	avg_y_error: 45.2325254941	var_y_error: 0.200340970856
time: 27.6865798611	x_noise: 3.81120181084	avg_x_error: 5.02610819154	var_x_error: 0.438723450311	y_noise: 3.69427490234	avg_y_error: 5.5825159046	var_y_error: 0.543984771152
time: 28.9986371528	x_noise: 3.12205433846	avg_x_error: 1.80178103733	var_x_error: 0.0309563301431	y_noise: 3.32662343979	avg_y_error: 2.20811439122	var_y_error: 0.0609831224003
time: 30.3307204861	x_noise: 6.03111410141	avg_x_error: 6.3347329863	var_x_error: 0.00357621171571	y_noise: 4.71919822693	avg_y_error: 4.73951737774	var_y_error: 0.305704732716
time: 31.6508680556	x_noise: 33.837223053	avg_x_error: 27.0556517529	var_x_error: 12.5933075898	y_noise: 21.7942276001	avg_y_error: 36.0198061105	var_y_error: 20.1208395272
time: 32.9590017361	x_noise: 59.5989456177	avg_x_error: 135.207156026	var_x_error: 5.28874352655	y_noise: 53.8964958191	avg_y_error: 86.2509900835	var_y_error: 128.491389657
time: 34.9552256944	x_noise: 41.3997001648	avg_x_error: 21.0536154971	var_x_error: 4.91859048238	y_noise: 72.1365509033	avg_y_error: 86.9443631317	var_y_error: 0.142303312018
time: 36.2593663194	x_noise: 4.96986293793	avg_x_error: 5.89903833627	var_x_error: 5.54494868198	y_noise: 3.63830065727	avg_y_error: 4.32208974098	var_y_error: 0.336898620133
time: 37.5515017361	x_noise: 21.635137558	avg_x_error: 21.5238241369	var_x_error: 4.73799544835	y_noise: 5.91104030609	avg_y_error: 6.45829378181	var_y_error: 6.50886956146
time: 38.8396440972	x_noise: 15.4842185974	avg_x_error: 17.0511843815	var_x_error: 0.0852082093341	y_noise: 18.7963008881	avg_y_error: 18.5320920718	var_y_error: 3.63977976961
time: 42.2641753472	x_noise: 27.3423862457	avg_x_error: 16.7641536623	var_x_error: 1.77672814479	y_noise: 34.3401107788	avg_y_error: 33.552581563	var_y_error: 7.6352161626
time: 43.5841666667	x_noise: 24.4830055237	avg_x_error: 33.4006638546	var_x_error: 58.6794414945	y_noise: 16.2589950562	avg_y_error: 7.03919023943	var_y_error: 0.712728819441
time: 44.8883246528	x_noise: 25.669752121	avg_x_error: 27.9791946674	var_x_error: 0.263901912355	y_noise: 9.18995189667	avg_y_error: 6.68487650383	var_y_error: 0.144898890132
time: 46.2407465278	x_noise: 18.3291893005	avg_x_error: 10.7805704698	var_x_error: 42.0141896876	y_noise: 31.5694923401	avg_y_error: 23.3886228299	var_y_error: 9.93683305166
time: 47.5126822917	x_noise: 25.9221973419	avg_x_error: 16.1574130761	var_x_error: 3.57457993761	y_noise: 20.046087265	avg_y_error: 22.9862317663	var_y_error: 8.58919881838
time: 49.4448524306	x_noise: 116.206542969	avg_x_error: 95.1702238348	var_x_error: 18.93200166	y_noise: 189.815582275	avg_y_error: 88.9725369849	var_y_error: 13.4707470721
time: 50.7769965278	x_noise: 25.1321048737	avg_x_error: 12.3909987116	var_x_error: 2.12311335739	y_noise: 15.1037998199	avg_y_error: 18.742283533	var_y_error: 15.434396651
time: 52.0891319444	x_noise: 7.68679523468	avg_x_error: 5.18110978709	var_x_error: 0.44575240266	y_noise: 3.51827788353	avg_y_error: 2.79385951202	var_y_error: 0.0115526386952
time: 53.3973350694	x_noise: 7.33690643311	avg_x_error: 7.7537314665	var_x_error: 1.07569220126	y_noise: 4.58600378036	avg_y_error: 4.29939904533	var_y_error: 9.33490920811
time: 55.4654861111	x_noise: 15.2269430161	avg_x_error: 11.2160676008	var_x_error: 2.11318841563	y_noise: 11.1492595673	avg_y_error: 9.34546970431	var_y_error: 0.9678833008
time: 56.7776649306	x_noise: 18.5538444519	avg_x_error: 10.4054582021	var_x_error: 0.564888184086	y_noise: 12.89818573	avg_y_error: 31.043729775	var_y_error: 10.7234394656
time: 58.0898871528	x_noise: 13.8146896362	avg_x_error: 6.93380411376	var_x_error: 0.821092523805	y_noise: 4.99258375168	avg_y_error: 5.04764068367	var_y_error: 4.48449687738
time: 60.7981944444	x_noise: 23.4037475586	avg_x_error: 16.7033686556	var_x_error: 2.32824325776	y_noise: 41.6874084473	avg_y_error: 30.759531509	var_y_error: 1.57283315337
time: 62.0862152778	x_noise: 51.5794715881	avg_x_error: 30.2760330202	var_x_error: 10.39892908	y_noise: 49.5444068909	avg_y_error: 45.0337309494	var_y_error: 22.7002613209
