time: 6.45796006944	x_error: 3.5271522022	y_error: 3.71216241887
time: 6.48506944444	x_error: 0.0630377403908	y_error: 29.2857472451
time: 6.51394965278	x_error: 0.0463675415755	y_error: 23.8350982788
time: 6.53844618056	x_error: 0.0529850058793	y_error: 28.4710067091
time: 6.56203993056	x_error: 0.058278796329	y_error: 0.208254992997
time: 6.581953125	x_error: 0.0576567416258	y_error: 10.0465769912
time: 6.60203125	x_error: 0.0579849490033	y_error: 2.53545523808
time: 6.62204861111	x_error: 5.87934466518	y_error: 2.73257680152
time: 6.64597222222	x_error: 1.70570513067	y_error: 3.30156771054
time: 6.66598090278	x_error: 0.0646978510753	y_error: 0.340434814075
time: 6.69397569444	x_error: 3.77196246241	y_error: 7.18456751542
time: 6.713984375	x_error: 5.98810739115	y_error: 4.20784895865
time: 6.73454861111	x_error: 3.95959787555	y_error: 2.56883251866
time: 6.753984375	x_error: 1.23842747774	y_error: 7.59010841405
time: 6.773984375	x_error: 20.7647792501	y_error: 0.65618645742
time: 6.793984375	x_error: 1.23648604534	y_error: 7.02229251723
time: 6.81399305556	x_error: 7.72285714034	y_error: 17.8005659966
time: 6.83399305556	x_error: 3.40420586514	y_error: 0.429506888613
time: 6.85399305556	x_error: 2.6615124617	y_error: 2.49067647522
time: 6.87800347222	x_error: 1.21905126266	y_error: 0.687337368068
time: 6.89801215278	x_error: 3.43480733064	y_error: 1.80695516676
time: 6.91800347222	x_error: 0.212668911576	y_error: 2.49021277224
time: 6.93801215278	x_error: 4.01414528201	y_error: 29.4279791329
time: 6.95801215278	x_error: 16.4108020264	y_error: 37.6050010605
time: 6.97808159722	x_error: 7.59075105708	y_error: 43.3807451676
time: 6.99802083333	x_error: 0.431536695665	y_error: 23.4246507124
time: 7.01802083333	x_error: 0.653233750252	y_error: 5.14259766618
time: 7.03802083333	x_error: 1.60757543603	y_error: 2.24276868235
time: 7.05802083333	x_error: 0.072252975848	y_error: 0.32784948704
time: 7.08486111111	x_error: 0.0515104323543	y_error: 6.10919276886
time: 7.71009548611	x_error: 5.22000067883	y_error: 1.45685539605
time: 7.73817708333	x_error: 22.9520995838	y_error: 10.1459963349
time: 7.75809027778	x_error: 13.4553597083	y_error: 0.0574306127288
time: 7.78609375	x_error: 3.95722483316	y_error: 0.261903645212
time: 7.80763020833	x_error: 21.9914017885	y_error: 0.159783176023
time: 7.82611979167	x_error: 18.052422308	y_error: 4.14382591461
time: 7.85410590278	x_error: 15.026073616	y_error: 17.1131578266
time: 7.87644097222	x_error: 0.246224174381	y_error: 0.0743192762965
time: 7.89410590278	x_error: 2.9661120413	y_error: 3.49324400236
time: 7.91414930556	x_error: 23.3640395701	y_error: 0.191834096388
time: 7.93411458333	x_error: 7.06180775232	y_error: 31.90461508
time: 7.95413194444	x_error: 0.221819140305	y_error: 24.2612026962
time: 7.97411458333	x_error: 34.4332774985	y_error: 0.0745937983515
time: 7.99420138889	x_error: 3.50824697722	y_error: 1.99739743969
time: 8.01412326389	x_error: 0.260634742032	y_error: 17.7030189397
time: 8.03412326389	x_error: 25.4866961265	y_error: 6.17060084338
time: 8.05412326389	x_error: 35.2176552666	y_error: 0.0874998338621
time: 8.07412326389	x_error: 0.254020095865	y_error: 0.0745783388725
time: 8.09413194444	x_error: 0.46106147281	y_error: 16.6097326604
time: 8.11413194444	x_error: 27.9621451909	y_error: 0.202616837957
time: 8.13413194444	x_error: 0.195921872477	y_error: 0.0834041521389
time: 8.154140625	x_error: 14.6197890995	y_error: 53.1125330084
time: 8.174140625	x_error: 20.9458135996	y_error: 26.9754076707
time: 8.19413194444	x_error: 0.195866030002	y_error: 14.4554443802
time: 8.214140625	x_error: 0.195883148735	y_error: 18.663167591
time: 8.23414930556	x_error: 1.99706860493	y_error: 5.57860541893
time: 8.25415798611	x_error: 1.70255468693	y_error: 0.720250103485
time: 8.27414930556	x_error: 0.330610850292	y_error: 0.21757163941
time: 8.29414930556	x_error: 0.2587478687	y_error: 0.0362280162963
time: 8.31416666667	x_error: 0.281088206591	y_error: 0.0826713319815
time: 8.96190972222	x_error: 4.22522034732	y_error: 9.03166657717
time: 8.98622395833	x_error: 49.8046513434	y_error: 48.4618193668
time: 9.00650173611	x_error: 0.881992749255	y_error: 0.0297392109399
time: 9.02623263889	x_error: 0.759691464802	y_error: 2.79531742311
time: 9.04624131944	x_error: 0.984256638006	y_error: 0.0828122950974
time: 9.06624131944	x_error: 26.1315071536	y_error: 88.427118404
time: 9.08625868056	x_error: 74.9965108523	y_error: 12.0844948318
time: 9.10644965278	x_error: 21.9819279299	y_error: 0.192287434906
time: 9.13036458333	x_error: 0.836497318253	y_error: 0.192273585406
time: 9.15825520833	x_error: 7.86252781707	y_error: 3.73029540093
time: 9.17824652778	x_error: 63.8641817521	y_error: 42.3726541559
time: 9.19825520833	x_error: 0.882009015653	y_error: 0.0297456090219
time: 9.21838541667	x_error: 0.759653749371	y_error: 0.347223846248
time: 9.24225694444	x_error: 24.0098771989	y_error: 0.0827869687557
time: 9.26228298611	x_error: 7.55774905522	y_error: 1.47429129461
time: 9.28225694444	x_error: 14.5627271875	y_error: 49.6718538001
time: 9.302265625	x_error: 0.878516298063	y_error: 0.038084260776
time: 9.32352430556	x_error: 0.765585962399	y_error: 56.4969196832
time: 9.34544270833	x_error: 0.972910868652	y_error: 2.29873814515
time: 9.36233506944	x_error: 0.77731852	y_error: 47.1826515452
time: 9.38227430556	x_error: 0.84498890399	y_error: 20.7566919446
time: 9.40240451389	x_error: 0.836550750199	y_error: 29.770253093
time: 9.42227430556	x_error: 19.2074522662	y_error: 46.9521534006
time: 9.45028645833	x_error: 34.2578552769	y_error: 0.192260143366
time: 9.47028645833	x_error: 42.4518366681	y_error: 0.192275629463
time: 9.49035590278	x_error: 25.0715994304	y_error: 13.337762082
time: 9.51029513889	x_error: 12.8573474355	y_error: 0.192255235117
time: 9.53028645833	x_error: 7.7214065109	y_error: 6.74862359716
time: 9.55028645833	x_error: 5.45752633661	y_error: 0.426787867696
time: 9.57028645833	x_error: 2.25781264925	y_error: 3.73742670856
time: 10.1961805556	x_error: 7.50796740398	y_error: 8.90803477599
time: 10.2154079861	x_error: 29.9326601488	y_error: 26.5311175475
time: 10.2358506944	x_error: 4.18972840489	y_error: 1.4355348107
time: 10.2543663194	x_error: 8.29253097286	y_error: 4.16969671803
time: 10.2744444444	x_error: 6.87109629416	y_error: 38.2591000145
time: 10.2943663194	x_error: 20.2798640294	y_error: 45.2326758328
time: 10.314375	x_error: 8.73384177006	y_error: 9.95558304475
time: 10.334375	x_error: 5.91628475087	y_error: 9.15770625081
time: 10.354375	x_error: 0.878357748095	y_error: 5.98401504009
time: 10.374375	x_error: 13.6969909085	y_error: 3.26476637788
time: 10.3943836806	x_error: 0.777141992301	y_error: 0.235580158845
time: 10.4143836806	x_error: 0.638269172543	y_error: 0.143982957179
time: 10.4343923611	x_error: 0.935745207875	y_error: 0.187236432702
time: 10.4543836806	x_error: 0.888355890386	y_error: 0.66467305706
time: 10.4743923611	x_error: 13.6246592412	y_error: 15.4670416405
time: 10.4944010417	x_error: 0.931647711173	y_error: 44.7452391933
time: 10.5143923611	x_error: 0.507145923244	y_error: 0.107075288777
time: 10.5344010417	x_error: 0.536902732626	y_error: 0.151210069077
time: 10.5544010417	x_error: 0.554194190003	y_error: 0.466111912844
time: 10.5744010417	x_error: 0.524177983197	y_error: 7.04745468785
time: 10.594453125	x_error: 4.16819195097	y_error: 6.66039372271
time: 10.6144097222	x_error: 42.172959407	y_error: 14.6698807531
time: 10.6353472222	x_error: 79.1986364697	y_error: 41.5070720868
time: 10.6544097222	x_error: 71.221930217	y_error: 22.2059160113
time: 10.6744184028	x_error: 81.3050470543	y_error: 14.0675426926
time: 10.6944184028	x_error: 91.1386538927	y_error: 15.8526431409
time: 10.7144184028	x_error: 61.5931652276	y_error: 16.5757965099
time: 10.7344184028	x_error: 38.6597164203	y_error: 4.9026670547
time: 10.7545052083	x_error: 5.85881511548	y_error: 4.48285894743
time: 10.7787673611	x_error: 29.8764210091	y_error: 20.5077720706
time: 11.4219097222	x_error: 0.200449138472	y_error: 0.349429572153
time: 11.4425	x_error: 12.3989112191	y_error: 12.90582164
time: 11.4625	x_error: 0.200478264372	y_error: 22.6399552559
time: 11.4825868056	x_error: 0.232783664533	y_error: 4.66341849407
time: 11.5025	x_error: 1.90815461916	y_error: 2.71378337309
time: 11.5225086806	x_error: 1.78628502046	y_error: 3.7732559559
time: 11.5425086806	x_error: 3.47606815644	y_error: 7.07916003536
time: 11.5625086806	x_error: 2.14642967634	y_error: 0.984850425242
time: 11.5825954861	x_error: 12.7673977162	y_error: 1.12269592878
time: 11.6025173611	x_error: 0.311975553886	y_error: 0.0101410036893
time: 11.6225868056	x_error: 17.0275300125	y_error: 0.867963611652
time: 11.6425694444	x_error: 0.0781346962507	y_error: 0.592355006165
time: 11.6625173611	x_error: 4.32517206016	y_error: 0.521331176336
time: 11.68296875	x_error: 0.299949074967	y_error: 1.14613834799
time: 11.7025260417	x_error: 2.01699218819	y_error: 2.54798738894
time: 11.7225260417	x_error: 16.5911636915	y_error: 20.8748314843
time: 11.7425260417	x_error: 0.178608040637	y_error: 0.189628898704
time: 11.7625260417	x_error: 1.85055589489	y_error: 7.42794674709
time: 11.7827430556	x_error: 0.494194799653	y_error: 14.5810098135
time: 11.8025347222	x_error: 15.827713946	y_error: 0.411532363748
time: 11.8225347222	x_error: 11.4110286125	y_error: 13.4230697499
time: 11.8426128472	x_error: 2.44586482975	y_error: 0.430516050294
time: 11.8625434028	x_error: 9.02605989419	y_error: 0.817217614038
time: 11.8826302083	x_error: 0.36081913482	y_error: 0.905192006405
time: 11.9025520833	x_error: 13.8119086644	y_error: 0.540612038421
time: 11.9225520833	x_error: 2.38589684814	y_error: 1.99483790852
time: 11.9425520833	x_error: 10.5628174456	y_error: 19.1578201945
time: 11.9625520833	x_error: 2.4203004855	y_error: 8.01676617736
time: 11.9831684028	x_error: 1.03052296006	y_error: 0.664867788415
time: 12.0025607639	x_error: 1.50245912251	y_error: 0.918533535556
time: 12.6507291667	x_error: 4.71053696925	y_error: 8.08682016912
time: 12.6747482639	x_error: 23.6794747476	y_error: 3.58774171776
time: 12.7026302083	x_error: 5.12874346687	y_error: 5.6945336411
time: 12.7226388889	x_error: 0.103192473044	y_error: 7.91415797757
time: 12.7433420139	x_error: 5.65620335442	y_error: 4.65224379473
time: 12.7706597222	x_error: 0.17651686512	y_error: 6.43564886393
time: 12.7907378472	x_error: 14.4543231747	y_error: 1.2987473753
time: 12.8106597222	x_error: 10.3633661239	y_error: 0.66374119559
time: 12.8306510417	x_error: 0.835969349025	y_error: 6.11974872738
time: 12.8506597222	x_error: 3.22873822119	y_error: 6.87980722752
time: 12.8706510417	x_error: 11.2738800835	y_error: 1.16321801552
time: 12.8907465278	x_error: 51.4546022926	y_error: 4.59514292436
time: 12.9106597222	x_error: 16.2524771597	y_error: 1.87259268379
time: 12.9306597222	x_error: 7.80956716868	y_error: 5.36365494886
time: 12.9506597222	x_error: 1.02713717923	y_error: 3.52081866268
time: 12.9706684028	x_error: 14.31399583	y_error: 2.21053646462
time: 12.9908506944	x_error: 51.3332186484	y_error: 4.36848918397
time: 13.0106684028	x_error: 0.225369822671	y_error: 1.49062483203
time: 13.0306770833	x_error: 37.1482930549	y_error: 5.07740688924
time: 13.0506770833	x_error: 12.1486049298	y_error: 2.42563650871
time: 13.070703125	x_error: 15.1246465099	y_error: 6.46327987829
time: 13.0907638889	x_error: 14.1893747208	y_error: 6.40205084193
time: 13.1106770833	x_error: 3.30346550164	y_error: 4.85350092388
time: 13.1306857639	x_error: 1.18022520182	y_error: 5.72371805772
time: 13.1507725694	x_error: 8.9821239246	y_error: 10.5134600455
time: 13.1706857639	x_error: 1.21815170962	y_error: 41.3781707159
time: 13.1947222222	x_error: 33.701128458	y_error: 5.0298274322
time: 13.2146961806	x_error: 4.70136781411	y_error: 56.2810865851
time: 13.2346961806	x_error: 57.4144938576	y_error: 2.53021249455
time: 13.2627083333	x_error: 26.4032381988	y_error: 1.66990668409
time: 13.8869618056	x_error: 3.6328145516	y_error: 16.1336137289
time: 13.9124913194	x_error: 29.3611296396	y_error: 1.88689231728
time: 13.9313975694	x_error: 37.4494237275	y_error: 8.83587483102
time: 13.9587847222	x_error: 37.7497959414	y_error: 1.57732599039
time: 13.9828732639	x_error: 30.7191539798	y_error: 0.451002684576
time: 14.0107899306	x_error: 22.2857757256	y_error: 1.34010419719
time: 14.0339496528	x_error: 2.8639739668	y_error: 4.51365859701
time: 14.0508072917	x_error: 2.99068970392	y_error: 15.3700537909
time: 14.0719791667	x_error: 8.72365295163	y_error: 17.8071760757
time: 14.0907899306	x_error: 2.48260596961	y_error: 2.7668735906
time: 14.114453125	x_error: 9.56869298929	y_error: 1.79898930022
time: 14.1348003472	x_error: 16.8885052418	y_error: 1.78261197926
time: 14.1567361111	x_error: 3.69072691087	y_error: 16.3150822515
time: 14.1747916667	x_error: 3.70366359951	y_error: 1.96259738524
time: 14.1948003472	x_error: 5.91772409883	y_error: 0.13720646339
time: 14.2148003472	x_error: 5.83155179915	y_error: 6.1711373635
time: 14.2348003472	x_error: 5.69713167622	y_error: 13.1598056407
time: 14.2548090278	x_error: 30.6235917635	y_error: 2.91330760943
time: 14.2748611111	x_error: 28.4720187277	y_error: 1.86186544728
time: 14.2948177083	x_error: 18.1729738007	y_error: 1.79566431052
time: 14.3148090278	x_error: 21.1164293489	y_error: 1.21098581995
time: 14.3348263889	x_error: 31.6985505183	y_error: 1.36667147404
time: 14.3548263889	x_error: 46.316822845	y_error: 1.24640906465
time: 14.3749045139	x_error: 48.1118594238	y_error: 1.27758925965
time: 14.398828125	x_error: 23.6238775992	y_error: 1.27712370348
time: 14.4188368056	x_error: 15.7865538586	y_error: 1.27693655422
time: 14.4388368056	x_error: 2.72622481398	y_error: 1.27697070879
time: 14.458828125	x_error: 16.0622382872	y_error: 1.27713861077
time: 14.4788628472	x_error: 2.20065908258	y_error: 4.59969902237
time: 14.5068315972	x_error: 43.9197760495	y_error: 1.88808910891
time: 15.1309027778	x_error: 2.05205284694	y_error: 18.9669550681
time: 15.1589496528	x_error: 1.63035109096	y_error: 9.48508315618
time: 15.1874913194	x_error: 4.7701987958	y_error: 1.9682975182
time: 15.2069184028	x_error: 2.36401931674	y_error: 3.40063927096
time: 15.2269184028	x_error: 2.37867801315	y_error: 7.99604850597
time: 15.246953125	x_error: 2.80119929274	y_error: 6.18027265261
time: 15.2669184028	x_error: 4.38630219944	y_error: 4.26719878658
time: 15.2869184028	x_error: 0.15172625266	y_error: 4.50557003473
time: 15.3069357639	x_error: 1.1303018146	y_error: 9.51834990814
time: 15.3269270833	x_error: 0.305795960003	y_error: 10.3695806109
time: 15.3490538194	x_error: 2.12205726602	y_error: 10.8830731939
time: 15.3669270833	x_error: 2.98612611187	y_error: 5.91952770096
time: 15.3869270833	x_error: 0.793993649695	y_error: 3.52487199532
time: 15.4145659722	x_error: 1.74305792377	y_error: 1.0760580663
time: 15.4349392361	x_error: 0.164011578398	y_error: 7.39508594789
time: 15.4589496528	x_error: 1.90951433212	y_error: 9.8590717331
time: 15.4791145833	x_error: 3.85855075444	y_error: 10.580240484
time: 15.4989496528	x_error: 4.14627622259	y_error: 5.22221551231
time: 15.5189409722	x_error: 4.61489213287	y_error: 0.839499369971
time: 15.5389496528	x_error: 1.14032941883	y_error: 1.17107472036
time: 15.5589583333	x_error: 2.40896826194	y_error: 3.12713388167
time: 15.5789583333	x_error: 14.705509346	y_error: 9.06013725729
time: 15.5989583333	x_error: 2.53632613266	y_error: 5.3085594924
time: 15.6190190972	x_error: 5.50933560008	y_error: 11.3987342603
time: 15.6389583333	x_error: 14.5526652913	y_error: 17.4231126236
time: 15.6590017361	x_error: 2.4866630283	y_error: 7.86672295506
time: 15.6789583333	x_error: 16.5562971177	y_error: 16.1431246967
time: 15.6989670139	x_error: 2.45434854529	y_error: 1.4273305342
time: 15.7189756944	x_error: 20.5756794635	y_error: 11.5938053555
time: 15.74296875	x_error: 17.6685746019	y_error: 0.134417456922
time: 15.7629774306	x_error: 5.28190525886	y_error: 0.49285263227
time: 15.7830295139	x_error: 20.7963686846	y_error: 0.0742926734683
time: 15.8029861111	x_error: 3.60303213898	y_error: 2.75392173034
time: 15.8229774306	x_error: 17.9228624404	y_error: 12.9832631136
time: 15.8429774306	x_error: 4.00189828615	y_error: 7.91056756701
time: 15.8629774306	x_error: 4.36452343233	y_error: 3.56011672579
time: 15.8829861111	x_error: 15.830466542	y_error: 0.520726140197
time: 15.9029947917	x_error: 0.787606313544	y_error: 7.89974527594
time: 15.9229947917	x_error: 5.88366318728	y_error: 8.84275897912
time: 15.9429947917	x_error: 0.47101113212	y_error: 6.75080212978
time: 15.9630034722	x_error: 2.92286227778	y_error: 5.81385836851
time: 15.9831770833	x_error: 2.83871233152	y_error: 8.67668919178
time: 16.0029947917	x_error: 2.06407414093	y_error: 13.5511242651
time: 16.0229947917	x_error: 2.04160666196	y_error: 11.6937769479
time: 16.0430642361	x_error: 0.608785411117	y_error: 11.9710581002
time: 16.0630034722	x_error: 6.07098171873	y_error: 10.6646427623
time: 16.0830034722	x_error: 4.95104878558	y_error: 3.53028132107
time: 16.1030642361	x_error: 4.33169003172	y_error: 7.62409992372
time: 16.1230121528	x_error: 0.44480988749	y_error: 14.3078574805
time: 16.1430121528	x_error: 3.42387682791	y_error: 14.8263192775
time: 16.1629947917	x_error: 5.25527258521	y_error: 13.1144784467
time: 16.1830034722	x_error: 14.3057123923	y_error: 27.3065386414
time: 16.2030295139	x_error: 1.8396200438	y_error: 14.2183512465
time: 16.2230121528	x_error: 13.4493769453	y_error: 27.7030225603
time: 16.2430381944	x_error: 5.1459114229	y_error: 2.31465248263
time: 16.2630034722	x_error: 24.8449775878	y_error: 13.8003905305
